,sentiment
0,negative
1,negative
2,neutral
3,neutral
4,neutral
5,positive
6,negative
7,positive
8,neutral
9,neutral
10,positive
11,positive
12,positive
13,neutral
14,neutral
15,positive
16,neutral
17,positive
18,neutral
19,negative
20,positive
21,neutral
22,positive
23,neutral
24,positive
25,neutral
26,neutral
27,neutral
28,neutral
29,neutral
30,positive
31,negative
32,neutral
33,positive
34,neutral
35,neutral
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,positive
44,neutral
45,neutral
46,neutral
47,neutral
48,neutral
49,neutral
50,negative
51,neutral
52,positive
53,positive
54,neutral
55,neutral
56,positive
57,positive
58,positive
59,neutral
60,neutral
61,positive
62,neutral
63,neutral
64,neutral
65,negative
66,positive
67,neutral
68,neutral
69,neutral
70,neutral
71,negative
72,positive
73,neutral
74,positive
75,neutral
76,neutral
77,neutral
78,neutral
79,neutral
80,positive
81,neutral
82,positive
83,positive
84,neutral
85,neutral
86,positive
87,neutral
88,positive
89,positive
90,neutral
91,positive
92,negative
93,neutral
94,neutral
95,positive
96,neutral
97,neutral
98,neutral
99,positive
100,neutral
101,positive
102,negative
103,positive
104,neutral
105,positive
106,positive
107,neutral
108,positive
109,positive
110,positive
111,positive
112,neutral
113,neutral
114,neutral
115,neutral
116,positive
117,neutral
118,neutral
119,positive
120,positive
121,neutral
122,positive
123,neutral
124,neutral
125,neutral
126,positive
127,neutral
128,positive
129,neutral
130,neutral
131,positive
132,positive
133,negative
134,neutral
135,positive
136,neutral
137,neutral
138,positive
139,positive
140,neutral
141,neutral
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,positive
148,neutral
149,neutral
150,neutral
151,positive
152,positive
153,neutral
154,neutral
155,positive
156,positive
157,positive
158,neutral
159,neutral
160,neutral
161,negative
162,negative
163,positive
164,positive
165,neutral
166,neutral
167,neutral
168,neutral
169,positive
170,positive
171,positive
172,positive
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,positive
179,neutral
180,positive
181,positive
182,positive
183,neutral
184,neutral
185,neutral
